name,set_name
Abomasnow,"Forbidden Light"
Abomasnow,"Rebel Clash"
Abomasnow,Stormfront
Abomasnow,"Plasma Blast"
Abomasnow,"Mysterious Treasures"
Abomasnow,"Ultra Prism"
Abomasnow,BREAKthrough
Abomasnow,"Unified Minds"
Abomasnow,"Chilling Reign"
Abomasnow,"Astral Radiance Trainer Gallery"
Abomasnow,"Lost Origin"
Abra,Base
Abra,"Team Rocket"
Abra,"Base Set 2"
Abra,"Legendary Collection"
Abra,"Mysterious Treasures"
Abra,Skyridge
Abra,"Expedition Base Set"
Absol,Dragon
Absol,"Legend Maker"
Absol,"Secret Wonders"
Absol,"Holon Phantoms"
Absol,"Champion's Path"
Absol,"Roaring Skies"
Absol,"Plasma Freeze"
Absol,"Guardians Rising"
Absol,"Team Up"
Absol,"HS—Triumphant"
Absol,"Team Magma vs Team Aqua"
Absol,"Cosmic Eclipse"
Absol,"XY Black Star Promos"
Absol,"Fusion Strike"
Absol,"Astral Radiance"
"Absol G","Supreme Victors"
"Absol G LV.X","Supreme Victors"
"Absol ex","Power Keepers"
Absol-EX,"XY Black Star Promos"
Accelgor,"Plasma Blast"
Accelgor,"Dark Explorers"
Accelgor,"Crimson Invasion"
Accelgor,"Darkness Ablaze"
Accelgor,"Noble Victories"
Accelgor,"Furious Fists"
Accelgor,"Fusion Strike"
Aegislash,"Forbidden Light"
Aegislash,BREAKpoint
Aegislash,XY
Aegislash,XY
Aegislash,"Primal Clash"
Aegislash,"Unified Minds"
Aegislash,"Team Up"
Aegislash,"Rebel Clash"
Aegislash,"Battle Styles"
Aegislash,"Battle Styles"
"Aegislash V","Vivid Voltage"
"Aegislash V","Vivid Voltage"
"Aegislash VMAX","Vivid Voltage"
"Aegislash VMAX","Vivid Voltage"
Aegislash-EX,"Phantom Forces"
Aegislash-EX,"Phantom Forces"
Aerodactyl,"Legend Maker"
Aerodactyl,Fossil
Aerodactyl,Arceus
Aerodactyl,Fossil
Aerodactyl,"Neo Revelation"
Aerodactyl,"Majestic Dawn"
Aerodactyl,Skyridge
Aerodactyl,"Dark Explorers"
Aerodactyl,"Fates Collide"
Aerodactyl,"Team Up"
"Aerodactyl GL","Rising Rivals"
"Aerodactyl V","Lost Origin"
"Aerodactyl V","Lost Origin"
"Aerodactyl V","Lost Origin"
"Aerodactyl VSTAR","Lost Origin"
"Aerodactyl VSTAR","Lost Origin"
"Aerodactyl ex",Sandstorm
"Aerodactyl δ","Holon Phantoms"
Aerodactyl-EX,"XY Black Star Promos"
Aerodactyl-GX,"Unified Minds"
Aerodactyl-GX,"Unified Minds"
Aerodactyl-GX,"Unified Minds"
Aggron,"HS—Triumphant"
Aggron,"Legend Maker"
Aggron,"Mysterious Treasures"
Aggron,"Ruby & Sapphire"
Aggron,"Power Keepers"
Aggron,"Rising Rivals"
Aggron,"Plasma Blast"
Aggron,"Crimson Invasion"
Aggron,"Dragons Exalted"
Aggron,"Darkness Ablaze"
Aggron,"Unbroken Bonds"
Aggron,"Chilling Reign"
"Aggron V","Brilliant Stars"
"Aggron VMAX","Brilliant Stars"
"Aggron ex","Crystal Guardians"
"Aggron ex",Sandstorm
Aggron-EX,"Primal Clash"
Aggron-EX,"Primal Clash"
Aipom,"Neo Genesis"
Aipom,"Unseen Forces"
Aipom,"HS—Unleashed"
Aipom,"Neo Revelation"
Aipom,"Majestic Dawn"
Aipom,"HS—Triumphant"
Aipom,"Majestic Dawn"
Aipom,"Mysterious Treasures"
Aipom,"Steam Siege"
Aipom,Aquapolis
Aipom,"Dragons Exalted"
Aipom,"Cosmic Eclipse"
Aipom,"SM Black Star Promos"
Aipom,"Pokémon GO"
Aipom,"Lost Origin"
Alakazam,"Base Set 2"
Alakazam,Base
Alakazam,"Legendary Collection"
Alakazam,Skyridge
Alakazam,"Mysterious Treasures"
Alakazam,"Expedition Base Set"
Alakazam,Skyridge
Alakazam,"Expedition Base Set"
"Alakazam E4","Rising Rivals"
"Alakazam E4 LV.X","Rising Rivals"
"Alakazam V","Vivid Voltage"
"Alakazam V","SWSH Black Star Promos"
"Alakazam ★","Crystal Guardians"
Alakazam-EX,"Fates Collide"
Alakazam-EX,"Fates Collide"
Alakazam-EX,"Fates Collide"
Alcremie,"SWSH Black Star Promos"
Alcremie,"Vivid Voltage"
Alcremie,"Rebel Clash"
Alcremie,"Shiny Vault"
Alcremie,"Brilliant Stars"
Alcremie,"Brilliant Stars Trainer Gallery"
"Alcremie V","Champion's Path"
"Alcremie V","Shining Fates"
"Alcremie VMAX","Champion's Path"
"Alcremie VMAX","Shining Fates"
"Alolan Diglett","Ultra Prism"
"Alolan Diglett","Sun & Moon"
"Alolan Diglett","Lost Thunder"
"Alolan Diglett","Unbroken Bonds"
"Alolan Diglett","McDonald's Collection 2017"
"Alolan Dugtrio","McDonald's Collection 2019"
"Alolan Dugtrio","Ultra Prism"
"Alolan Dugtrio","Sun & Moon"
"Alolan Dugtrio","Lost Thunder"
"Alolan Dugtrio","Unbroken Bonds"
"Alolan Exeggutor","McDonald's Collection 2019"
"Alolan Exeggutor","Forbidden Light"
"Alolan Exeggutor","Forbidden Light"
"Alolan Exeggutor","Ultra Prism"
"Alolan Exeggutor","Team Up"
"Alolan Exeggutor","Team Up"
"Alolan Exeggutor V","Pokémon GO"
"Alolan Exeggutor V","Pokémon GO"
"Alolan Exeggutor V","SWSH Black Star Promos"
"Alolan Exeggutor-GX","Crimson Invasion"
"Alolan Exeggutor-GX","Crimson Invasion"
"Alolan Exeggutor-GX","Crimson Invasion"
"Alolan Geodude","Team Up"
"Alolan Geodude","Team Up"
"Alolan Geodude","Crimson Invasion"
"Alolan Geodude","Guardians Rising"
"Alolan Golem","Team Up"
"Alolan Golem","Guardians Rising"
"Alolan Golem-GX","Crimson Invasion"
"Alolan Golem-GX","Crimson Invasion"
"Alolan Golem-GX","Crimson Invasion"
"Alolan Graveler","Team Up"
"Alolan Graveler","Guardians Rising"
"Alolan Graveler","Crimson Invasion"
"Alolan Grimer","Sun & Moon"
"Alolan Grimer","Team Up"
"Alolan Grimer","Burning Shadows"
"Alolan Grimer","Cosmic Eclipse"
"Alolan Grimer","Unified Minds"
"Alolan Marowak","Forbidden Light"
"Alolan Marowak","Crimson Invasion"
"Alolan Marowak","Team Up"
"Alolan Marowak","Unified Minds"
"Alolan Marowak-GX","SM Black Star Promos"
"Alolan Meowth","McDonald's Collection 2019"
"Alolan Meowth","SM Black Star Promos"
"Alolan Meowth","SM Black Star Promos"
"Alolan Meowth","Sun & Moon"
"Alolan Meowth","Lost Thunder"
"Alolan Meowth","Cosmic Eclipse"
"Alolan Meowth","McDonald's Collection 2017"
"Alolan Muk","Sun & Moon"
"Alolan Muk","Team Up"
"Alolan Muk","Cosmic Eclipse"
"Alolan Muk-GX","Burning Shadows"
